name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
AfricaNenda Foundation,,https://www.africanenda.org/,logos/23e4293a822e7c342a103d7c8ad855e8ff909af1b093bb571a74ad175986063b.svg,https://twitter.com/AfricaNenda,https://www.crunchbase.com/organization/africanenda,,,,,,,,,,,,,,,,,,,Related Organizations,Related Organizations,,,,,,,,,,,,,,,,,,,,,,,,
BCEAO,,https://www.bceao.int/,logos/0443185a7f199d90f3b95fbe869ada95c3b828c505e5988b23eef13a3d921e4e.svg,,https://www.crunchbase.com/organization/bceao,,,,,,,BCEAO is an international public institution that issuing institute common to the member states of the West African Monetary Union (WAMU).,,,,,,,,,,,,Tazama Project Adopters,In Development,,,,,,,,,,,,,,,,,,,,,,,,
Bill & Melinda Gates Foundation,,https://www.gatesfoundation.org,logos/ef4d350cf929ce36f85dbeb1893e3bd6f10b99cdcc2f4f29eb2ae4858ee8c03a.svg,https://twitter.com/gatesfoundation,https://www.crunchbase.com/organization/bill-melinda-gates-foundation,,,,,,,"Bill & Melinda Gates Foundation supports initiatives in education, world health and population, and community giving.",,,,,,,,,,,,Tazama Project Funders,Charities,,,,,,,,,,,,,,,,,,,,,,,,
COMESA,,https://www.comesa.int,logos/5578cec718e1308527c928b8d8749e5f9c69577f723ac7bee607e11a1991f348.svg,,https://www.crunchbase.com/organization/comesa-institutions,,,,,,,COMESA Institutions enhances regional integration in Eastern and Southern Africa through trade and development.,,,,,,,,,,,,Tazama Project Adopters,In Development,,,,,,,,,,,,,,,,,,,,,,,,
Crosslake Technologies,,http://www.crosslaketech.com/,logos/e94ca19a4252f980df9b8138ec87a50533a2adc861e4a97ad2b4caed5bb668b9.svg,,https://www.crunchbase.com/organization/crosslake-technologies,,,,,,,,,,,,,,,,,,,Tazama Project Participants,Consulting / Staffing Firms,,,,,,,,,,,,,,,,,,,,,,,,
Infitx,,https://infitx.com/,logos/3c1dd16de39b17dd7d79fe72dc5e89965de620f09af7c9dab8a2b065e4c9f21b.svg,,https://www.crunchbase.com/organization/infitx,,,,,,,INFITX focuses on building and supporting equitable and inclusive financial services to help alleviate poverty and gender inequality.,,,,,,,,,,,,Tazama Project Participants,System Integrators,,,,,,,,,,,,,,,,,,,,,,,,
LexTego,,https://lextego.com/,logos/2cde0e42bddcf705ba68595dde66ff3f6fdd3dbfc9966f1d1a59e1362363dd9a.svg,,https://www.crunchbase.com/organization/lextego,,,,,,,"LexTego helps you to identify bad actors with a real-time transaction monitoring system, for fraud and anti-money laundering.",,,,,,,,,,,,Tazama Project Participants,System Integrators,,,,,,,,,,,,,,,,,,,,,,,,
Mojaloop Foundation,,https://mojaloop.io/,logos/f41aae83680372526d5da44b39aba247445717e17dcb98d49e9793d87d6ecff2.svg,https://twitter.com/mojaloop,https://www.crunchbase.com/organization/mojaloop-foundation,,,,,,,,,,,,,,,,,,,Related Organizations,Related Organizations,,,,,,,,,,,,,,,,,,,,,,,,
PaySys Labs,,https://www.paysyslabs.com/,logos/cad0a17d951ae62894d0f911ff3cb46daf966e257d7bf113bb698ff7c2a00f08.svg,https://twitter.com/paysyslabs,https://www.crunchbase.com/organization/paysys-labs,,,,,,,"Paysys Labs offers digital banking, CMS, financial, biometric, wealth, and merchant management system solutions.",,,,,,,,,,,,Tazama Project Participants,System Integrators,,,,,,,,,,,,,,,,,,,,,,,,
Sybrin,,https://www.sybrin.com/,logos/466539041f7bd8d74c75e94e60c119b812e26f6ab31a17828a18b106d4bf81a9.svg,,https://www.crunchbase.com/organization/sybrin,,,,,,,"Sybrin a global technology company providing payment & information processing solutions for clearing houses, commercial banks & corporates.",,,,,,,,,,,,Tazama Project Participants,System Integrators,,,,,,,,,,,,,,,,,,,,,,,,
ThitsaWorks,,https://www.thitsaworks.com/,logos/b98ebf77e92a945dafa59d4642ac22435dce4a205a4012aeb8d359d22e6963f6.svg,https://twitter.com/thitsaworks,https://www.crunchbase.com/organization/thitsaworks-solutions-myanmar-co-ltd,,,,,,,ThitsaWorks drives financial equity and inclusion for the unbanked & underbanked in developing economies through its data-driven solutions.,,,,,,,,,,,,Tazama Project Participants,System Integrators,,,,,,,,,,,,,,,,,,,,,,,,
WiredIn,,http://www.wiredin.rw/,logos/dbac35aa56499b1f34078fbb796dcb0923d2efb0eed3aa08d93af0a1406d11a8.svg,https://twitter.com/wiredinrw,https://www.crunchbase.com/organization/wiredin,,,,,,,"WiredIn is an information technology company that provides software development, web designing, and website development services.",,,,,,,,,,,,Tazama Project Participants,System Integrators,,,,,,,,,,,,,,,,,,,,,,,,
ZeroTen Technologies,,https://zerotenweb.com.ng/,logos/97c27450fac671416523140c558e53342da27c22c55651647dd573ce10e1a92a.svg,,https://www.crunchbase.com/organization/zeroten-technologies,,,,,,,,,,,,,,,,,,,Tazama Project Participants,Consulting / Staffing Firms,,,,,,,,,,,,,,,,,,,,,,,,
